,lemma,lang,aat_pref,aat_alt,aat_scopeNote,aat_pref_comment,aat_alt_comment,aat_total
0,aboriginal,nl,1,0,0,0,0,1
1,achterlijk,nl,0,1,0,0,0,1
2,afkomst,nl,0,0,0,0,0,0
3,allochtoon,nl,0,0,0,0,0,0
4,baboe,nl,0,0,0,0,0,0
5,barbaar,nl,0,0,0,0,0,0
6,batavia,nl,0,0,0,0,0,0
7,bediende,nl,1,1,0,0,0,2
8,berber,nl,1,0,0,0,0,1
9,birma,nl,0,0,0,0,0,0
10,blank,nl,0,0,0,0,0,0
11,bombay,nl,0,0,0,0,0,0
12,boslandcreool,nl,0,0,0,0,0,0
13,bosneger,nl,0,0,0,0,0,0
14,calcutta,nl,0,0,0,0,0,0
15,derde wereld,nl,0,0,0,0,0,0
16,dwerg,nl,1,1,0,0,0,2
17,eerste wereld,nl,0,0,0,0,0,0
18,eskimo,nl,1,0,0,0,0,1
19,etniciteit,nl,1,0,0,0,0,1
20,etnische groep,nl,1,1,0,0,0,2
21,exotisch,nl,0,0,0,0,0,0
22,gay,nl,0,0,0,0,0,0
23,gehandicapte,nl,1,1,0,0,0,2
24,gekleurd,nl,0,0,0,0,0,0
25,halfbloed,nl,0,0,0,0,0,0
26,handicap,nl,0,0,0,0,0,0
27,hermafrodiet,nl,1,1,0,0,0,2
28,homo,nl,0,0,0,0,0,0
29,homoseksualiteit,nl,1,0,0,0,0,1
30,homoseksueel,nl,0,0,0,0,0,0
31,hottentot,nl,0,0,0,0,0,0
32,inboorling,nl,0,0,0,0,0,0
33,indiaan,nl,1,1,1,0,0,3
34,indisch,nl,1,0,0,0,0,1
35,indo,nl,1,0,1,0,0,2
36,inheems,nl,1,0,0,0,0,1
37,inlander,nl,0,0,0,0,0,0
38,inuk,nl,1,0,0,0,0,1
39,islamiet,nl,0,0,0,0,0,0
40,jap,nl,0,0,0,0,0,0
41,jappenkamp,nl,0,0,0,0,0,0
42,kaffer,nl,0,0,0,0,0,0
43,kaukasisch,nl,1,0,0,0,0,1
44,knecht,nl,0,0,0,0,0,0
45,koelie,nl,0,0,0,0,0,0
46,koppensneller,nl,0,0,0,0,0,0
47,lagelonenland,nl,0,0,0,0,0,0
48,lilliputter,nl,0,0,0,0,0,0
49,madras,nl,0,0,0,0,0,0
50,marron,nl,0,0,0,0,0,0
51,medicijnman,nl,0,0,0,0,0,0
52,mesties,nl,0,0,0,0,0,0
53,mohammedaan,nl,0,0,0,0,0,0
54,mongool,nl,1,0,1,0,0,2
55,moor,nl,1,0,0,0,0,1
56,mulat,nl,0,0,0,0,0,0
57,métis,nl,1,0,1,0,0,2
58,neger,nl,0,0,0,0,0,0
59,ontdekken,nl,0,0,0,0,0,0
60,ontwikkelingsland,nl,1,1,0,0,0,2
61,oriëntaals,nl,0,0,0,0,0,0
62,page,nl,0,0,0,0,0,0
63,politionele actie,nl,0,0,0,0,0,0
64,primitief,nl,0,0,0,0,0,0
65,primitivisme,nl,1,0,0,0,0,1
66,pygmee,nl,1,0,1,0,0,2
67,queer,nl,0,0,0,0,0,0
68,ras,nl,1,0,0,0,0,1
69,roots,nl,0,0,0,0,0,0
70,slaaf,nl,1,1,0,0,0,2
71,stam,nl,1,1,1,0,0,3
72,traditioneel,nl,0,0,0,0,0,0
73,trans,nl,0,0,0,0,0,0
74,travestiet,nl,0,0,0,0,0,0
75,tweede wereld,nl,0,0,0,0,0,0
76,volbloed,nl,0,0,0,0,0,0
77,westers,nl,0,0,0,0,0,0
78,wit,nl,0,0,0,0,0,0
79,zigeuner,nl,0,1,0,0,0,1
80,zuid-rhodesië,nl,0,0,0,0,0,0
81,zwart,nl,0,0,0,0,0,0
