lemma,term,lang,aat_prefLabel,aat_altLabel,aat_scopeNote,aat_prefLabel_comment,aat_altLabel_comment,total
batavia,batavias,en,0,0,0,0,0,0
batavia,batavia,en,1,2,1,0,0,4
southern rhodesia,southern rhodesia,en,0,0,0,0,0,0
madras,madras,en,1,0,5,0,0,6
low-income countries,low-income country,en,0,0,0,0,0,0
low-income countries,low-income countries,en,0,0,0,0,0,0
headhunter,headhunters,en,0,0,0,0,0,0
headhunter,headhunter,en,0,0,0,0,0,0
immigrant,immigrants,en,2,1,9,0,0,12
immigrant,immigrant,en,0,4,1,0,0,5
barbarian,barbarians,en,0,0,0,0,0,0
barbarian,barbarian,en,0,4,1,0,0,5
moor,moors,en,1,1,5,0,0,7
moor,moor,en,0,3,4,0,0,7
indian,indians,en,3,47,53,0,0,103
indian,indian,en,46,158,371,0,1,576
homo,homos,en,0,0,0,0,0,0
homo,homo,en,6,2,13,0,0,21
exotic,exotics,en,0,0,0,0,0,0
exotic,exotic,en,0,2,16,0,0,18
allochtoon,allochtoons,en,0,0,0,0,0,0
allochtoon,allochtoon,en,0,0,0,0,0,0
medicine man,medicine men,en,0,1,0,0,0,1
medicine man,medicine man,en,0,0,0,0,0,0
third world,third world,en,0,1,2,0,0,3
servant,servants,en,6,7,20,0,0,33
servant,servant,en,0,7,6,0,0,13
hottentot,hottentots,en,0,0,2,0,0,2
hottentot,hottentot,en,0,1,0,0,0,1
gypsy,gypsies,en,0,0,3,0,0,3
gypsy,gypsys,en,0,0,0,0,0,0
gypsy,gypsy,en,1,8,1,0,0,10
coolie,coolies,en,0,0,0,0,0,0
coolie,coolie,en,0,0,0,0,0,0
white,whitest,en,0,0,0,0,0,0
white,whiter,en,0,0,3,0,0,3
white,whites,en,0,0,5,0,0,5
white,white,en,103,312,824,1,1,1241
caucasian,caucasians,en,0,0,0,0,0,0
caucasian,caucasian,en,8,10,15,0,0,33
kaffir,kaffirs,en,0,0,0,0,0,0
kaffir,kaffir,en,0,1,0,0,0,1
descent,descent,en,0,0,40,0,0,40
mohammedan,mohammedans,en,0,0,0,0,0,0
mohammedan,mohammedan,en,0,1,0,0,0,1
mongoloid,mongoloids,en,0,0,0,0,0,0
mongoloid,mongoloid,en,0,0,4,0,0,4
discover,discover,en,0,0,7,0,0,7
homosexual,homosexuals,en,2,1,0,0,0,3
homosexual,homosexual,en,0,6,1,0,0,7
baboo,baboos,en,0,0,0,0,0,0
baboo,baboo,en,0,0,0,0,0,0
pygmy,pygmys,en,0,0,0,0,0,0
pygmy,pygmy,en,3,17,8,0,0,28
page,pages,en,8,8,99,0,0,115
